Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,200,200,137,100,64,138,True,,,,,
BF,Yes,200,200,137,100,64,138,True,136,101,135,136,101
PH,No,200,200,137,100,64,95,True,,,,,
PH,Yes,200,200,137,100,64,89,True,137,100,87,137,100
BF,No,200,200,167,89,64,568,True,,,,,
BF,Yes,200,200,167,89,64,568,True,167,89,30,167,89
PH,No,200,200,167,89,64,45,True,,,,,
PH,Yes,200,200,167,89,64,45,True,167,89,30,167,89
BF,No,200,200,146,50,64,147,True,,,,,
BF,Yes,200,200,146,50,64,147,True,145,51,144,145,51
PH,No,200,200,146,50,64,86,True,,,,,
PH,Yes,200,200,146,50,64,80,True,146,50,78,146,50
BF,No,200,200,174,195,64,575,True,,,,,
BF,Yes,200,200,174,195,64,39,True,174,195,36,174,195
PH,No,200,200,174,195,64,38,True,,,,,
PH,Yes,200,200,174,195,64,39,True,174,195,36,174,195
BF,No,200,200,187,180,64,413,True,,,,,
BF,Yes,200,200,187,180,64,25,True,187,180,21,187,180
PH,No,200,200,187,180,64,25,True,,,,,
PH,Yes,200,200,187,180,64,24,True,187,180,21,187,180
BF,No,200,200,174,64,64,575,True,,,,,
BF,Yes,200,200,174,64,64,26,True,173,64,24,173,64
PH,No,200,200,174,64,64,38,True,,,,,
PH,Yes,200,200,174,64,64,26,True,173,64,24,173,64
BF,No,200,200,45,169,64,355,True,,,,,
BF,Yes,200,200,45,169,64,51,True,45,169,48,45,169
PH,No,200,200,45,169,64,51,True,,,,,
PH,Yes,200,200,45,169,64,51,True,45,169,48,45,169
BF,No,200,200,89,110,64,290,True,,,,,
BF,Yes,200,200,89,110,64,113,True,89,110,111,89,110
PH,No,200,200,89,110,64,116,True,,,,,
PH,Yes,200,200,89,110,64,111,True,89,110,108,89,110
BF,No,200,200,109,146,64,91,True,,,,,
BF,Yes,200,200,109,146,64,91,True,109,146,90,109,146
PH,No,200,200,109,146,64,91,True,,,,,
PH,Yes,200,200,109,146,64,91,True,109,146,90,109,146
BF,No,200,200,103,199,64,704,True,,,,,
BF,Yes,200,200,103,199,64,110,True,103,199,105,103,199
PH,No,200,200,103,199,64,118,True,,,,,
PH,Yes,200,200,103,199,64,164,True,103,199,105,103,199
BF,No,200,200,84,174,64,685,True,,,,,
BF,Yes,200,200,84,174,64,90,True,84,174,87,84,174
PH,No,200,200,84,174,64,97,True,,,,,
PH,Yes,200,200,84,174,64,90,True,84,174,87,84,174
BF,No,200,200,149,164,64,550,True,,,,,
BF,Yes,200,200,149,164,64,550,True,149,164,48,149,164
PH,No,200,200,149,164,64,63,True,,,,,
PH,Yes,200,200,149,164,64,63,True,149,164,48,149,164
BF,No,200,200,66,78,64,134,True,,,,,
BF,Yes,200,200,66,78,64,134,True,67,78,132,67,78
PH,No,200,200,66,78,64,88,True,,,,,
PH,Yes,200,200,66,78,64,99,True,66,78,84,66,78
BF,No,200,200,169,87,64,170,True,,,,,
BF,Yes,200,200,169,87,64,171,True,168,87,168,168,87
PH,No,200,200,169,87,64,52,True,,,,,
PH,Yes,200,200,169,87,64,44,True,169,87,42,169,87
BF,No,200,200,184,80,64,416,True,,,,,
BF,Yes,200,200,184,80,64,28,True,184,80,24,184,80
