Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,100,100,2,42,4,1703,True,,,,,
BF,Yes,100,100,2,42,4,1703,True,2,42,1506,2,42
PH,No,100,100,2,42,4,975,True,,,,,
BF,Yes,100,100,2,42,4,975,True,2,43,966,2,43
BF,No,100,100,3,12,4,1204,True,,,,,
BF,Yes,100,100,3,12,4,1018,True,2,10,819,2,10
PH,No,100,100,3,12,4,482,True,,,,,
BF,Yes,100,100,3,12,4,478,True,5,10,468,5,10
BF,No,100,100,27,55,4,573,True,,,,,
BF,Yes,100,100,27,55,4,573,True,27,49,165,27,49
PH,No,100,100,27,55,4,73,True,,,,,
BF,Yes,100,100,27,55,4,51,True,28,55,48,28,55
BF,No,100,100,41,12,4,1242,True,,,,,
BF,Yes,100,100,41,12,4,1242,True,,,,44,10
PH,No,100,100,41,12,4,476,True,,,,,
BF,Yes,100,100,41,12,4,476,True,45,10,468,45,10
BF,No,100,100,7,57,4,793,True,,,,,
BF,Yes,100,100,7,57,4,604,True,7,57,600,7,57
PH,No,100,100,7,57,4,85,True,,,,,
BF,Yes,100,100,7,57,4,73,True,7,57,72,7,57
BF,No,100,100,11,93,4,1889,True,,,,,
BF,Yes,100,100,11,93,4,1889,True,,,,15,90
PH,No,100,100,11,93,4,1029,True,,,,,
BF,Yes,100,100,11,93,4,1029,True,16,90,1014,16,90
BF,No,100,100,41,60,4,1042,True,,,,,
BF,Yes,100,100,41,60,4,1042,True,,,,46,58
PH,No,100,100,41,60,4,276,True,,,,,
BF,Yes,100,100,41,60,4,276,True,36,57,261,36,57
BF,No,100,100,13,65,4,1587,True,,,,,
BF,Yes,100,100,13,65,4,1587,True,,,,10,63
PH,No,100,100,13,65,4,731,True,,,,,
BF,Yes,100,100,13,65,4,731,True,9,63,723,9,63
BF,No,100,100,65,8,4,866,True,,,,,
BF,Yes,100,100,65,8,4,749,True,67,6,678,67,6
PH,No,100,100,65,8,4,162,True,,,,,
BF,Yes,100,100,65,8,4,162,True,62,7,159,62,7
BF,No,100,100,35,38,4,1336,True,,,,,
BF,Yes,100,100,35,38,4,1336,True,,,,40,36
PH,No,100,100,35,38,4,582,True,,,,,
BF,Yes,100,100,35,38,4,582,True,30,35,567,30,35
