Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,16,16,3,11,2,52,True,,,,,
BF,Yes,16,16,3,11,2,37,True,3,11,33,3,11
PH,No,16,16,3,11,2,32,True,,,,,
PH,Yes,16,16,3,11,2,34,True,3,11,30,3,11
BF,No,16,16,8,2,2,41,True,,,,,
BF,Yes,16,16,8,2,2,26,True,8,2,24,8,2
PH,No,16,16,8,2,2,21,True,,,,,
PH,Yes,16,16,8,2,2,21,True,8,2,18,8,2
BF,No,16,16,10,15,2,123,True,,,,,
BF,Yes,16,16,10,15,2,226,True,10,15,222,10,15
PH,No,16,16,10,15,2,79,True,,,,,
PH,Yes,16,16,10,15,2,206,True,10,15,51,10,15
BF,No,16,16,14,9,2,31,True,,,,,
BF,Yes,16,16,14,9,2,31,True,14,9,27,14,9
PH,No,16,16,14,9,2,7,True,,,,,
PH,Yes,16,16,14,9,2,7,True,,,,,
BF,No,16,16,7,14,2,105,True,,,,,
BF,Yes,16,16,7,14,2,74,True,7,14,72,7,14
PH,No,16,16,7,14,2,69,True,,,,,
PH,Yes,16,16,7,14,2,49,True,7,15,48,7,15
BF,No,16,16,11,15,2,124,True,,,,,
BF,Yes,16,16,11,15,2,72,True,12,15,66,12,15
PH,No,16,16,11,15,2,74,True,,,,,
PH,Yes,16,16,11,15,2,201,True,11,15,48,11,15
BF,No,16,16,5,4,2,70,True,,,,,
BF,Yes,16,16,5,4,2,44,True,5,4,42,5,4
PH,No,16,16,5,4,2,38,True,,,,,
PH,Yes,16,16,5,4,2,32,True,5,4,30,5,4
BF,No,16,16,11,0,2,12,True,,,,,
BF,Yes,16,16,11,0,2,12,True,,,,,
PH,No,16,16,11,0,2,12,True,,,,,
PH,Yes,16,16,11,0,2,12,True,,,,,
BF,No,16,16,14,14,2,98,True,,,,,
BF,Yes,16,16,14,14,2,42,True,15,14,39,15,14
PH,No,16,16,14,14,2,44,True,,,,,
PH,Yes,16,16,14,14,2,159,True,14,14,156,14,14
BF,No,16,16,13,9,2,30,True,,,,,
BF,Yes,16,16,13,9,2,28,True,13,9,24,13,9
PH,No,16,16,13,9,2,8,True,,,,,
PH,Yes,16,16,13,9,2,8,True,,,,,
BF,No,16,16,10,13,2,91,True,,,,,
BF,Yes,16,16,10,13,2,51,True,10,13,48,10,13
PH,No,16,16,10,13,2,51,True,,,,,
PH,Yes,16,16,10,13,2,34,True,10,14,33,10,14
BF,No,16,16,13,4,2,78,True,,,,,
BF,Yes,16,16,13,4,2,53,True,13,4,51,13,4
PH,No,16,16,13,4,2,38,True,,,,,
PH,Yes,16,16,13,4,2,35,True,13,4,33,13,4
BF,No,16,16,13,2,2,46,True,,,,,
BF,Yes,16,16,13,2,2,24,True,13,2,21,13,2
PH,No,16,16,13,2,2,24,True,,,,,
PH,Yes,16,16,13,2,2,24,True,13,2,21,13,2
BF,No,16,16,12,2,2,45,True,,,,,
BF,Yes,16,16,12,2,2,23,True,12,2,21,12,2
PH,No,16,16,12,2,2,25,True,,,,,
PH,Yes,16,16,12,2,2,23,True,12,2,21,12,2
BF,No,16,16,9,11,2,58,True,,,,,
BF,Yes,16,16,9,11,2,30,True,9,12,27,9,12
PH,No,16,16,9,11,2,28,True,,,,,
PH,Yes,16,16,9,11,2,23,True,8,12,21,8,12
BF,No,16,16,15,11,2,64,True,,,,,
BF,Yes,16,16,15,11,2,35,True,15,12,33,15,12
PH,No,16,16,15,11,2,16,True,,,,,
PH,Yes,16,16,15,11,2,16,True,,,,,
BF,No,16,16,7,5,2,89,True,,,,,
BF,Yes,16,16,7,5,2,62,True,7,5,60,7,5
PH,No,16,16,7,5,2,53,True,,,,,
PH,Yes,16,16,7,5,2,35,True,7,5,33,7,5
BF,No,16,16,9,10,2,39,True,,,,,
BF,Yes,16,16,9,10,2,33,True,9,9,27,9,9
PH,No,16,16,9,10,2,19,True,,,,,
PH,Yes,16,16,9,10,2,19,True,7,13,18,7,13
BF,No,16,16,13,4,2,78,True,,,,,
BF,Yes,16,16,13,4,2,53,True,13,4,51,13,4
PH,No,16,16,13,4,2,38,True,,,,,
PH,Yes,16,16,13,4,2,35,True,13,4,33,13,4
BF,No,16,16,1,12,2,79,True,,,,,
BF,Yes,16,16,1,12,2,46,True,1,12,42,1,12
PH,No,16,16,1,12,2,35,True,,,,,
PH,Yes,16,16,1,12,2,130,True,1,12,33,1,12
BF,No,16,16,4,15,2,117,True,,,,,
BF,Yes,16,16,4,15,2,60,True,3,15,57,3,15
PH,No,16,16,4,15,2,77,True,,,,,
PH,Yes,16,16,4,15,2,54,True,4,15,51,4,15
BF,No,16,16,1,7,2,127,True,,,,,
BF,Yes,16,16,1,7,2,23,True,1,7,18,1,7
PH,No,16,16,1,7,2,55,True,,,,,
PH,Yes,16,16,1,7,2,23,True,1,7,18,1,7
BF,No,16,16,10,11,2,59,True,,,,,
BF,Yes,16,16,10,11,2,30,True,10,11,27,10,11
PH,No,16,16,10,11,2,27,True,,,,,
PH,Yes,16,16,10,11,2,23,True,10,12,21,10,12
BF,No,16,16,11,9,2,28,True,,,,,
BF,Yes,16,16,11,9,2,21,True,11,9,15,11,9
PH,No,16,16,11,9,2,10,True,,,,,
PH,Yes,16,16,11,9,2,10,True,,,,,
BF,No,16,16,15,4,2,80,True,,,,,
BF,Yes,16,16,15,4,2,55,True,15,4,51,15,4
PH,No,16,16,15,4,2,32,True,,,,,
PH,Yes,16,16,15,4,2,29,True,15,4,27,15,4
BF,No,16,16,9,9,2,26,True,,,,,
BF,Yes,16,16,9,9,2,19,True,9,9,15,9,9
PH,No,16,16,9,9,2,12,True,,,,,
PH,Yes,16,16,9,9,2,12,True,,,,,
BF,No,16,16,15,15,2,128,True,,,,,
BF,Yes,16,16,15,15,2,70,True,15,15,66,15,15
PH,No,16,16,15,15,2,48,True,,,,,
PH,Yes,16,16,15,15,2,38,True,15,15,36,15,15
BF,No,16,16,13,6,2,110,True,,,,,
BF,Yes,16,16,13,6,2,36,True,13,6,33,13,6
PH,No,16,16,13,6,2,56,True,,,,,
PH,Yes,16,16,13,6,2,20,True,13,6,18,13,6
BF,No,16,16,6,9,2,23,True,,,,,
BF,Yes,16,16,6,9,2,19,True,6,9,15,6,9
PH,No,16,16,6,9,2,15,True,,,,,
PH,Yes,16,16,6,9,2,18,True,6,9,15,6,9
BF,No,16,16,0,5,2,96,True,,,,,
BF,Yes,16,16,0,5,2,69,True,0,5,66,0,5
PH,No,16,16,0,5,2,30,True,,,,,
PH,Yes,16,16,0,5,2,30,True,0,5,27,0,5
BF,No,16,16,1,6,2,98,True,,,,,
BF,Yes,16,16,1,6,2,69,True,1,6,66,1,6
PH,No,16,16,1,6,2,44,True,,,,,
PH,Yes,16,16,1,6,2,40,True,1,6,36,1,6
BF,No,16,16,7,1,2,25,True,,,,,
BF,Yes,16,16,7,1,2,18,True,7,1,12,7,1
PH,No,16,16,7,1,2,13,True,,,,,
PH,Yes,16,16,7,1,2,13,True,7,1,12,7,1
BF,No,16,16,9,6,2,106,True,,,,,
BF,Yes,16,16,9,6,2,78,True,9,6,75,9,6
PH,No,16,16,9,6,2,35,True,,,,,
PH,Yes,16,16,9,6,2,26,True,9,6,24,9,6
BF,No,16,16,4,10,2,44,True,,,,,
BF,Yes,16,16,4,10,2,23,True,4,10,21,4,10
PH,No,16,16,4,10,2,24,True,,,,,
PH,Yes,16,16,4,10,2,24,True,4,10,21,4,10
BF,No,16,16,10,4,2,75,True,,,,,
BF,Yes,16,16,10,4,2,55,True,10,4,51,10,4
PH,No,16,16,10,4,2,43,True,,,,,
PH,Yes,16,16,10,4,2,42,True,10,4,39,10,4
BF,No,16,16,12,13,2,93,True,,,,,
BF,Yes,16,16,12,13,2,48,True,12,13,45,12,13
PH,No,16,16,12,13,2,45,True,,,,,
PH,Yes,16,16,12,13,2,162,True,12,13,150,12,13
BF,No,16,16,11,10,2,37,True,,,,,
BF,Yes,16,16,11,10,2,35,True,11,10,33,11,10
PH,No,16,16,11,10,2,17,True,,,,,
PH,Yes,16,16,11,10,2,17,True,,,,,
BF,No,16,16,15,15,2,128,True,,,,,
BF,Yes,16,16,15,15,2,70,True,15,15,66,15,15
PH,No,16,16,15,15,2,48,True,,,,,
PH,Yes,16,16,15,15,2,38,True,15,15,36,15,15
BF,No,16,16,15,11,2,64,True,,,,,
BF,Yes,16,16,15,11,2,35,True,15,12,33,15,12
PH,No,16,16,15,11,2,16,True,,,,,
PH,Yes,16,16,15,11,2,16,True,,,,,
BF,No,16,16,1,7,2,127,True,,,,,
BF,Yes,16,16,1,7,2,23,True,1,7,18,1,7
PH,No,16,16,1,7,2,55,True,,,,,
PH,Yes,16,16,1,7,2,23,True,1,7,18,1,7
BF,No,16,16,14,6,2,111,True,,,,,
BF,Yes,16,16,14,6,2,31,True,14,6,27,14,6
PH,No,16,16,14,6,2,51,True,,,,,
PH,Yes,16,16,14,6,2,48,True,15,6,45,15,6
BF,No,16,16,12,7,2,116,True,,,,,
BF,Yes,16,16,12,7,2,20,True,12,9,12,12,9
PH,No,16,16,12,7,2,16,True,,,,,
PH,Yes,16,16,12,7,2,25,True,12,7,18,12,7
BF,No,16,16,11,9,2,28,True,,,,,
BF,Yes,16,16,11,9,2,21,True,11,9,15,11,9
PH,No,16,16,11,9,2,10,True,,,,,
PH,Yes,16,16,11,9,2,10,True,,,,,
BF,No,16,16,10,4,2,75,True,,,,,
BF,Yes,16,16,10,4,2,55,True,10,4,51,10,4
PH,No,16,16,10,4,2,43,True,,,,,
PH,Yes,16,16,10,4,2,42,True,10,4,39,10,4
BF,No,16,16,3,4,2,68,True,,,,,
BF,Yes,16,16,3,4,2,41,True,3,4,39,3,4
PH,No,16,16,3,4,2,34,True,,,,,
PH,Yes,16,16,3,4,2,33,True,3,4,30,3,4
BF,No,16,16,13,3,2,51,True,,,,,
BF,Yes,16,16,13,3,2,30,True,13,3,27,13,3
PH,No,16,16,13,3,2,31,True,,,,,
PH,Yes,16,16,13,3,2,30,True,13,3,27,13,3
BF,No,16,16,2,3,2,62,True,,,,,
BF,Yes,16,16,2,3,2,38,True,2,3,36,2,3
PH,No,16,16,2,3,2,22,True,,,,,
PH,Yes,16,16,2,3,2,20,True,2,3,18,2,3
BF,No,16,16,13,12,2,67,True,,,,,
BF,Yes,16,16,13,12,2,43,True,13,12,39,13,12
PH,No,16,16,13,12,2,31,True,,,,,
PH,Yes,16,16,13,12,2,25,True,14,14,24,14,14
BF,No,16,16,0,4,2,65,True,,,,,
BF,Yes,16,16,0,4,2,65,True,0,3,33,0,3
PH,No,16,16,0,4,2,21,True,,,,,
PH,Yes,16,16,0,4,2,24,True,0,4,21,0,4
BF,No,16,16,2,1,2,30,True,,,,,
BF,Yes,16,16,2,1,2,20,True,2,1,12,2,1
PH,No,16,16,2,1,2,8,True,,,,,
PH,Yes,16,16,2,1,2,8,True,,,,,
BF,No,16,16,8,13,2,89,True,,,,,
BF,Yes,16,16,8,13,2,62,True,8,13,60,8,13
PH,No,16,16,8,13,2,53,True,,,,,
PH,Yes,16,16,8,13,2,36,True,8,13,33,8,13
BF,No,16,16,6,5,2,90,True,,,,,
BF,Yes,16,16,6,5,2,62,True,6,5,60,6,5
PH,No,16,16,6,5,2,52,True,,,,,
PH,Yes,16,16,6,5,2,35,True,6,5,33,6,5
