Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,16,16,12,8,2,4,True,,,,,
BF,Yes,16,16,12,8,2,4,True,,,,,
PH,No,16,16,12,8,2,4,True,,,,,
PH,Yes,16,16,12,8,2,4,True,,,,,
BF,No,16,16,10,14,2,102,True,,,,,
BF,Yes,16,16,10,14,2,73,True,10,14,69,10,14
PH,No,16,16,10,14,2,64,True,,,,,
PH,Yes,16,16,10,14,2,39,True,11,14,36,11,14
BF,No,16,16,9,12,2,71,True,,,,,
BF,Yes,16,16,9,12,2,40,True,9,12,36,9,12
PH,No,16,16,9,12,2,39,True,,,,,
PH,Yes,16,16,9,12,2,34,True,9,12,30,9,12
BF,No,16,16,11,8,2,5,True,,,,,
BF,Yes,16,16,11,8,2,5,True,,,,,
PH,No,16,16,11,8,2,5,True,,,,,
PH,Yes,16,16,11,8,2,5,True,,,,,
BF,No,16,16,12,3,2,52,True,,,,,
BF,Yes,16,16,12,3,2,47,True,12,3,45,12,3
PH,No,16,16,12,3,2,32,True,,,,,
PH,Yes,16,16,12,3,2,29,True,12,3,27,12,3
BF,No,16,16,9,3,2,55,True,,,,,
BF,Yes,16,16,9,3,2,44,True,9,3,42,9,3
PH,No,16,16,9,3,2,31,True,,,,,
PH,Yes,16,16,9,3,2,30,True,9,3,27,9,3
BF,No,16,16,13,9,2,30,True,,,,,
BF,Yes,16,16,13,9,2,28,True,13,9,24,13,9
PH,No,16,16,13,9,2,8,True,,,,,
PH,Yes,16,16,13,9,2,8,True,,,,,
BF,No,16,16,5,9,2,22,True,,,,,
BF,Yes,16,16,5,9,2,23,True,5,9,18,5,9
PH,No,16,16,5,9,2,16,True,,,,,
PH,Yes,16,16,5,9,2,24,True,5,9,18,5,9
BF,No,16,16,11,4,2,76,True,,,,,
BF,Yes,16,16,11,4,2,50,True,11,4,48,11,4
PH,No,16,16,11,4,2,42,True,,,,,
PH,Yes,16,16,11,4,2,42,True,11,4,39,11,4
BF,No,16,16,1,2,2,34,True,,,,,
BF,Yes,16,16,1,2,2,36,True,0,2,33,0,2
PH,No,16,16,1,2,2,12,True,,,,,
PH,Yes,16,16,1,2,2,12,True,,,,,
BF,No,16,16,2,6,2,99,True,,,,,
BF,Yes,16,16,2,6,2,71,True,2,6,69,2,6
PH,No,16,16,2,6,2,51,True,,,,,
PH,Yes,16,16,2,6,2,44,True,2,6,42,2,6
BF,No,16,16,3,12,2,77,True,,,,,
BF,Yes,16,16,3,12,2,30,True,0,12,27,0,12
PH,No,16,16,3,12,2,41,True,,,,,
PH,Yes,16,16,3,12,2,29,True,0,12,27,0,12
BF,No,16,16,11,11,2,60,True,,,,,
BF,Yes,16,16,11,11,2,181,True,11,11,36,11,11
PH,No,16,16,11,11,2,26,True,,,,,
PH,Yes,16,16,11,11,2,23,True,11,12,21,11,12
BF,No,16,16,12,13,2,93,True,,,,,
BF,Yes,16,16,12,13,2,48,True,12,13,45,12,13
PH,No,16,16,12,13,2,45,True,,,,,
PH,Yes,16,16,12,13,2,162,True,12,13,150,12,13
BF,No,16,16,15,3,2,49,True,,,,,
BF,Yes,16,16,15,3,2,49,True,15,3,48,15,3
PH,No,16,16,15,3,2,25,True,,,,,
PH,Yes,16,16,15,3,2,25,True,15,3,24,15,3
BF,No,16,16,1,4,2,66,True,,,,,
BF,Yes,16,16,1,4,2,46,True,1,4,42,1,4
PH,No,16,16,1,4,2,26,True,,,,,
PH,Yes,16,16,1,4,2,27,True,1,4,24,1,4
BF,No,16,16,6,5,2,90,True,,,,,
BF,Yes,16,16,6,5,2,62,True,6,5,60,6,5
PH,No,16,16,6,5,2,52,True,,,,,
PH,Yes,16,16,6,5,2,35,True,6,5,33,6,5
BF,No,16,16,2,3,2,62,True,,,,,
BF,Yes,16,16,2,3,2,38,True,2,3,36,2,3
PH,No,16,16,2,3,2,22,True,,,,,
PH,Yes,16,16,2,3,2,20,True,2,3,18,2,3
BF,No,16,16,13,14,2,99,True,,,,,
BF,Yes,16,16,13,14,2,43,True,13,15,42,13,15
PH,No,16,16,13,14,2,51,True,,,,,
PH,Yes,16,16,13,14,2,39,True,13,14,36,13,14
BF,No,16,16,7,11,2,56,True,,,,,
BF,Yes,16,16,7,11,2,29,True,7,12,27,7,12
PH,No,16,16,7,11,2,30,True,,,,,
PH,Yes,16,16,7,11,2,25,True,6,13,24,6,13
BF,No,16,16,14,12,2,66,True,,,,,
BF,Yes,16,16,14,12,2,43,True,14,12,39,14,12
PH,No,16,16,14,12,2,26,True,,,,,
PH,Yes,16,16,14,12,2,23,True,15,13,21,15,13
BF,No,16,16,4,10,2,44,True,,,,,
BF,Yes,16,16,4,10,2,23,True,4,10,21,4,10
