"Algorithm","Kriging","Grid Width","Grid Height","Bomb X Location","Bomb Y Location","Number of Robots","Steps","Finish","Best Bomb Guess X","Best Bomb Guess Y","Guess at Step","Last Bomb Guess X","Last Bomb Guess Y"
"BF","No","100","100","67","87","4","1233","True","","","","",""
"BF","Yes","100","100","67","87","4","1233","True","","","","64","85"
"PH","No","100","100","67","87","4","485","True","","","","",""
"BF","Yes","100","100","67","87","4","485","True","63","85","477","63","85"
"BF","No","100","100","83","96","4","2184","True","","","","",""
"BF","Yes","100","100","83","96","4","2184","True","","","","86","94"
"PH","No","100","100","83","96","4","1334","True","","","","",""
"BF","Yes","100","100","83","96","4","1334","True","87","94","1326","87","94"
"BF","No","100","100","76","24","4","2477","True","","","","",""
"BF","Yes","100","100","76","24","4","177","True","76","24","168","76","24"
"PH","No","100","100","76","24","4","36","True","","","","",""
"BF","Yes","100","100","76","24","4","36","True","","","","",""
"BF","No","100","100","96","91","4","1604","True","","","","",""
"BF","Yes","100","100","96","91","4","1604","True","","","","92","89"
"PH","No","100","100","96","91","4","882","True","","","","",""
"BF","Yes","100","100","96","91","4","882","True","92","89","873","92","89"
"BF","No","100","100","70","56","4","671","True","","","","",""
"BF","Yes","100","100","70","56","4","476","True","70","56","474","70","56"
"PH","No","100","100","70","56","4","131","True","","","","",""
"BF","Yes","100","100","70","56","4","115","True","70","56","111","70","56"
"BF","No","100","100","18","85","4","1082","True","","","","",""
"BF","Yes","100","100","18","85","4","1082","True","","","","20","82"
"PH","No","100","100","18","85","4","236","True","","","","",""
"BF","Yes","100","100","18","85","4","236","True","14","83","228","14","83"
"BF","No","100","100","31","88","4","1332","True","","","","",""
"BF","Yes","100","100","31","88","4","1332","True","","","","34","86"
"PH","No","100","100","31","88","4","586","True","","","","",""
"BF","Yes","100","100","31","88","4","586","True","35","86","579","35","86"
"BF","No","100","100","51","52","4","252","True","","","","",""
"BF","Yes","100","100","51","52","4","155","True","51","52","153","51","52"
"PH","No","100","100","51","52","4","64","True","","","","",""
"BF","Yes","100","100","51","52","4","64","True","53","54","63","53","54"
"BF","No","100","100","34","37","4","1266","True","","","","",""
"BF","Yes","100","100","34","37","4","1266","True","","","","31","35"
"PH","No","100","100","34","37","4","452","True","","","","",""
"BF","Yes","100","100","34","37","4","452","True","30","35","444","30","35"
"BF","No","100","100","50","42","4","1751","True","","","","",""
"BF","Yes","100","100","50","42","4","1751","True","50","45","1551","50","45"
"PH","No","100","100","50","42","4","967","True","","","","",""
"BF","Yes","100","100","50","42","4","967","True","50","45","954","50","45"
"BF","No","100","100","66","43","4","1834","True","","","","",""
"BF","Yes","100","100","66","43","4","1834","True","66","44","1635","66","44"
"PH","No","100","100","66","43","4","235","True","","","","",""
"BF","Yes","100","100","66","43","4","235","True","70","45","210","70","45"
"BF","No","100","100","16","53","4","384","True","","","","",""
"BF","Yes","100","100","16","53","4","190","True","16","53","186","16","53"
"PH","No","100","100","16","53","4","38","True","","","","",""
"BF","Yes","100","100","16","53","4","30","True","17","53","27","17","53"
"BF","No","100","100","63","20","4","2064","True","","","","",""
