Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,500,500,425,175,8,25426,True,,,,,
BF,Yes,500,500,425,175,8,24432,True,425,175,24430,425,175
PH,No,500,500,425,175,8,20692,True,,,,,
PH,Yes,500,500,425,175,8,20692,True,,,,,
BF,No,500,500,177,295,8,22823,True,,,,,
BF,Yes,500,500,177,295,8,21828,True,177,295,21826,177,295
PH,No,500,500,177,295,8,18295,True,,,,,
PH,Yes,500,500,177,295,8,18295,True,,,,,
BF,No,500,500,79,206,8,9580,True,,,,,
BF,Yes,500,500,79,206,8,8585,True,79,206,8583,79,206
PH,No,500,500,79,206,8,5538,True,,,,,
PH,Yes,500,500,79,206,8,5538,True,,,,,
BF,No,500,500,37,404,8,14963,True,,,,,
BF,Yes,500,500,37,404,8,13969,True,37,404,13967,37,404
PH,No,500,500,37,404,8,10155,True,,,,,
PH,Yes,500,500,37,404,8,10155,True,,,,,
BF,No,500,500,93,240,8,26594,True,,,,,
BF,Yes,500,500,93,240,8,25600,True,93,240,25598,93,240
PH,No,500,500,93,240,8,22524,True,,,,,
PH,Yes,500,500,93,240,8,22524,True,,,,,
BF,No,500,500,310,335,8,11811,True,,,,,
BF,Yes,500,500,310,335,8,10816,True,310,335,10814,310,335
PH,No,500,500,310,335,8,7307,True,,,,,
PH,Yes,500,500,310,335,8,7307,True,,,,,
BF,No,500,500,299,339,8,13800,True,,,,,
BF,Yes,500,500,299,339,8,12812,True,299,339,12808,299,339
PH,No,500,500,299,339,8,9318,True,,,,,
PH,Yes,500,500,299,339,8,9318,True,,,,,
BF,No,500,500,6,419,8,22007,True,,,,,
BF,Yes,500,500,6,419,8,52512,True,6,419,52510,6,419
PH,No,500,500,6,419,8,18099,True,,,,,
PH,Yes,500,500,6,419,8,18099,True,,,,,
BF,No,500,500,346,155,8,15347,True,,,,,
BF,Yes,500,500,346,155,8,14359,True,346,155,14355,346,155
PH,No,500,500,346,155,8,10771,True,,,,,
PH,Yes,500,500,346,155,8,10771,True,,,,,
BF,No,500,500,86,142,8,8914,True,,,,,
BF,Yes,500,500,86,142,8,7926,True,86,142,7922,86,142
PH,No,500,500,86,142,8,4204,True,,,,,
PH,Yes,500,500,86,142,8,4204,True,,,,,
