Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,75,75,3,72,3,1654,True,,,,,
BF,Yes,75,75,3,72,3,1526,True,0,70,1377,0,70
PH,No,75,75,3,72,3,1132,True,,,,,
PH,Yes,75,75,3,72,3,1119,True,4,70,1113,4,70
BF,No,75,75,61,71,3,1589,True,,,,,
BF,Yes,75,75,61,71,3,1589,True,,,,56,69
PH,No,75,75,61,71,3,1079,True,,,,,
PH,Yes,75,75,61,71,3,1079,True,57,69,1071,57,69
BF,No,75,75,16,44,3,1442,True,,,,,
BF,Yes,75,75,16,44,3,1442,True,16,44,1293,16,44
PH,No,75,75,16,44,3,149,True,,,,,
PH,Yes,75,75,16,44,3,149,True,19,45,144,19,45
BF,No,75,75,17,64,3,1068,True,,,,,
BF,Yes,75,75,17,64,3,1068,True,,,,14,61
PH,No,75,75,17,64,3,550,True,,,,,
PH,Yes,75,75,17,64,3,550,True,21,62,543,21,62
BF,No,75,75,12,38,3,988,True,,,,,
BF,Yes,75,75,12,38,3,988,True,,,,15,36
PH,No,75,75,12,38,3,480,True,,,,,
PH,Yes,75,75,12,38,3,480,True,7,35,465,7,35
BF,No,75,75,9,61,3,891,True,,,,,
BF,Yes,75,75,9,61,3,891,True,,,,12,58
PH,No,75,75,9,61,3,277,True,,,,,
PH,Yes,75,75,9,61,3,277,True,5,59,270,5,59
BF,No,75,75,73,36,3,899,True,,,,,
BF,Yes,75,75,73,36,3,608,True,74,36,603,74,36
PH,No,75,75,73,36,3,229,True,,,,,
PH,Yes,75,75,73,36,3,215,True,73,36,213,73,36
BF,No,75,75,53,34,3,729,True,,,,,
BF,Yes,75,75,53,34,3,729,True,,,,50,31
PH,No,75,75,53,34,3,139,True,,,,,
PH,Yes,75,75,53,34,3,139,True,57,32,132,57,32
BF,No,75,75,73,19,3,1427,True,,,,,
BF,Yes,75,75,73,19,3,1427,True,,,,71,17
PH,No,75,75,73,19,3,891,True,,,,,
PH,Yes,75,75,73,19,3,891,True,,,,,
BF,No,75,75,67,46,3,1643,True,,,,,
BF,Yes,75,75,67,46,3,1643,True,67,47,1344,67,47
PH,No,75,75,67,46,3,140,True,,,,,
PH,Yes,75,75,67,46,3,104,True,67,46,99,67,46
